> GMT_XY
254.612 -48.4379
254.578 -48.4391
254.579 -48.4614
254.58 -48.5059
254.546 -48.5071
254.528 -48.4632
254.527 -48.4521
254.551 -48.4067
254.585 -48.4055
254.593 -48.3941
254.575 -48.3613
254.583 -48.3388
254.548 -48.3178
254.532 -48.3406
254.55 -48.3734
254.526 -48.4077
254.492 -48.4311
254.434 -48.4666
254.391 -48.4682
254.348 -48.4586
254.254 -48.4398
254.21 -48.3968
254.149 -48.3656
254.087 -48.3011
254.061 -48.2798
254.033 -48.2251
253.998 -48.2041
253.963 -48.1609
253.891 -48.0744
253.855 -48.02
253.854 -47.9755
253.869 -47.9305
253.824 -47.8764
253.823 -47.843
253.797 -47.8329
253.781 -47.8557
253.738 -47.835
253.705 -47.8696
253.67 -47.8597
253.652 -47.827
253.608 -47.7951
253.607 -47.7507
253.581 -47.7516
253.573 -47.763
253.548 -47.7639
253.513 -47.7541
253.486 -47.7105
253.45 -47.6562
253.415 -47.6351
253.372 -47.6256
253.329 -47.616
253.276 -47.5733
253.224 -47.5307
253.172 -47.5103
253.11 -47.4569
253.065 -47.3806
253.031 -47.3818
253.02 -47.3154
252.918 -47.3302
252.864 -47.2542
252.82 -47.2113
252.793 -47.1566
252.78 -47.0346
252.77 -46.9904
252.752 -46.9688
252.718 -46.9812
252.667 -46.9941
252.59 -46.9747
252.563 -46.9422
252.545 -46.9095
252.57 -46.8974
252.578 -46.8638
252.612 -46.8626
252.593 -46.8298
252.567 -46.8085
252.525 -46.8323
252.5 -46.8332
252.473 -46.7896
252.437 -46.7353
252.435 -46.6908
252.4 -46.6698
252.322 -46.6169
252.316 -46.4724
252.384 -46.4699
252.401 -46.4582
252.374 -46.4258
252.271 -46.3961
252.219 -46.3646
252.142 -46.3562
252.088 -46.2913
252.061 -46.2478
252.077 -46.2249
252.076 -46.1916
252.032 -46.1486
252.027 -46.0152
252 -45.9828
251.957 -45.9509
251.947 -45.9068
251.945 -45.8512
251.918 -45.8187
251.883 -45.7866
251.856 -45.7653
